path,mean_r,mean_g,mean_b,label,movie
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-32.png,130.12613686266675,92.50172591407237,71.80128085716659,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-23.png,23.71491297746022,31.765893666621103,36.483367630053536,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-22.png,154.99854548781386,76.00596866941329,30.512795690686882,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-21.png,36.8873626526365,28.323365684517576,28.09684006086001,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-20.png,33.89178193380594,38.16479826683022,44.457903545495896,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-19.png,26.322787199071254,35.791105938046535,42.98554775084476,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-18.png,80.26495878808264,63.78326700741076,54.9026855965639,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-17.png,76.8351768193401,77.08955745188717,80.78796690642884,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-16.png,58.36759744854186,49.53754974683408,59.90940243941745,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-15.png,22.27687261511161,29.765877399126527,29.61869475227136,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-14.png,117.82845239873484,126.2623952296111,107.36209346705104,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-13.png,18.29470252544386,31.9653185481654,37.18223964715638,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-12.png,61.114611232020984,89.56375315365645,89.78600695186127,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-11.png,53.34148628523543,62.90055395310556,62.53687220017297,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-10.png,74.94697039857438,62.56573310469169,51.557799856899805,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-9.png,132.2601166469537,110.18396470965816,90.11705243502013,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-8.png,62.53024850771542,54.2427455798389,46.26103939989348,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-7.png,75.60428091219563,80.76039958463973,78.71208690178625,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-6.png,46.56847051642889,52.91999679229795,54.92567227160623,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-5.png,70.99884421945416,58.20902599255222,58.10284953119002,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-4.png,15.326344919388033,35.602490455373946,48.21069074269318,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-3.png,118.269250037219,104.14182186988239,96.88215051362215,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-24.png,93.95638366380341,78.45173784274245,81.07499714365841,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-25.png,135.93360603238537,161.7451152397065,144.4929549845246,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-27.png,60.70643713237331,55.6537123485379,57.47226648628004,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-28.png,108.52883865125223,63.56539570717356,55.76019199410396,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-31.png,107.27392125181093,76.4382244189922,68.12353587675156,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-30.png,89.96374223527228,72.1463742980895,69.39052097399194,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-26.png,86.92890770786609,91.48266865200874,91.21938276534122,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-50.png,113.98973607472537,101.44740085488887,101.45430099761724,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-49.png,68.60489805726166,89.789691214787,93.8100308833719,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-48.png,66.57507093338539,95.97103362523706,97.67976812596174,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-47.png,20.813759143675334,24.92299270757879,29.231975934634686,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-46.png,75.2983658362584,73.61376498376852,72.34433441942862,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-45.png,28.80048903356296,59.45673832819051,76.01029242475317,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-44.png,79.05805792204022,87.59488802186881,81.84710064944828,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-2.png,50.376143670657065,62.44174294236714,69.55240106223822,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-43.png,53.46404199045955,61.57246482897716,59.58010692317925,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-41.png,51.226728999697684,73.69908339509774,68.38351576500487,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-40.png,54.53711955935693,90.01119219068961,111.35127979245419,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-39.png,123.96321845834144,131.92601743596876,126.5172487271475,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-38.png,40.93849929274578,31.639050730891544,41.426325975725376,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-37.png,62.02318935464861,96.17975809262366,119.60478181741165,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-36.png,37.949730574099,66.36079959038048,87.4653257671634,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-35.png,58.609910368702934,59.68456210701027,53.59476640015628,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-34.png,109.79883682706841,73.48053250589628,59.213578833192855,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-33.png,132.46607853233007,83.87187527357817,51.50637409320428,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-29.png,82.59367019863815,108.72711959094221,122.16618232510658,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-42.png,75.1000163999109,87.07816175220962,87.82413680128849,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/1Castle in the Sky/1-1.png,26.649144755762876,62.145364024080756,85.04731320956066,Miyazaki,1Castle in the Sky
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-1.png,62.22751441754198,77.92238460183384,78.9755005880898,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-25.png,54.76656281135122,49.8362260366922,40.719961048888585,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-28.png,33.912514884640046,71.14220201074889,91.80101055788731,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-29.png,41.92629075302469,91.53118418944132,115.45197861160175,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-30.png,78.47901115077585,127.03129060556995,129.3259634390424,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-31.png,59.447083824997165,91.89182898235269,82.13114837392958,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-32.png,89.12424718554767,106.57037639205295,97.33962325450047,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-33.png,61.4320668198132,67.14484945434874,50.589959589956386,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-34.png,111.50120199635609,98.98906789453909,91.18223519570103,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-35.png,83.22687990816279,78.07657310419911,64.87265178876449,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-36.png,88.69068839053743,81.12277530299446,79.26205391573902,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-37.png,21.78613779813489,30.602328043765965,30.781841015465343,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-38.png,67.45852071837705,70.22385918585596,75.58481963170098,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-39.png,55.97155068871455,66.27800544138765,76.33179973273498,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-40.png,83.91277277731471,80.13078553892633,84.66685714732749,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-41.png,33.455345779365786,43.507219294327825,48.23645341670389,Miyazaki,2My Neighbor Totoro
/content/drive/MyDrive/Colab Notebooks/dh project/original_data/miyazaki/2My Neighbor Totoro/2-43.png,76.22547262213182,70.12360561793407,81.35745419934932,Miyazaki,2My Neighbor Totoro
